C[N+]1(C)CC[N+](C)(C)[Nb-2]12([Cl])([Cl])([N-]N1CCCCC1)[NH2+][N+]21CCCCC1	native	1
[Cl][Mn-5]1234([Cl])[NH+]5CC[NH+]1CC[NH+]2CC[NH+]3CC[NH+]4CC5	embed-grip	16
CO[P](=O)(OC)[Os-]12345([I])([P](=O)(OC)OC)[C]6=[C]1[C]2=[C]3[C]4=[C]65	native	2
CC1=NC=CC2=[N+]1[Ni-3]([OH2+])([Cl])([Cl])[N+]1=C(C)N=CC=C21	embed-grip	16
C[P+]1(C)CC[P+](C)(C)[Fe-4]12([Cl])([Cl])[P+](C)(C)CC[P+]2(C)C	embed-grip	16
CN1C2=CC=CC=C2C=[N+]1[Ru-3]([Cl])([Cl])([Cl])([Cl])[C]#[O+]	embed-grip	16
CO[P](O)(OC)[Os]12345([I])([P](=O)(OC)OC)[C]6=[C]1[C]2=[C]3[C]4=[C]65	native	8
CC1=[N+]2CC[NH2+][Cr-3]2([Cl])([Cl])[N+]2=CC=NC=C12	embed-grip	16
COC1=[O+][Cd-5]2([OH2+])([OH2+])([OH2+])([NH2+]N1)[NH2+]NC(OC)=[O+]2	embed-failed	0
[Cl][Mo-]1([Cl])([Cl])([O+]2CCCC2)[N][S]=N[S]=[N]1	embed-grip	16
CC1=CC=CC=[N+]1[O][Ta-3]1([F])([F])([F])([F])[O][O]1	native	8
CC1=[N+]([O])[Rh-4]23([I])([I])[N+](O)=C(C)C(C)=[N+]2CCC[N+]3=C1C	embed-grip	16
[O-][Cl+3]([O-])([O-])[O][Cd-5]1234([OH2+])[S+]5CC[S+]1CC[S+]2CC[S+]3CC[S+]4CC5	embed-grip	16
O=C(O)C1=CC=[N+]2C(=C1)C1=CC(C(=O)O)=CC=[N+]1[Os-4]2([Br])([Br])([C]#[O+])[C]#[O+]	embed-grip	16
[Cl][Pt-2]([Cl])([PH+]1C2CCCC1CCC2)[PH+]1C2CCCC1CCC2	native	2
[Te]1[Te][Te][Zn-2]2([Te]1)[Te][Te][Te][Te]2	native	1
[OH2+][Mn-4]([OH2+])([Cl])([Cl])([N+]12CN3CN(CP(C3)C1)C2)[N+]12CN3CN(CP(C3)C1)C2	native	6
O=C1C=C2C(=O)[O][Ni-4]3([OH2+])([OH2+])([NH2+]CCC[NH2+]3)[N]2C(=O)N1	embed-grip	16
[Cl][Co-3]1234[NH2+]CC[S+]1CC[S+]2CC[S+]3CC[NH2+]4	embed-grip	16
O=C1[O][Fe-4]2([OH2+])([OH2+])([O]C(=O)C3=CN=CC=[N+]32)[N+]2=CC=NC=C12	native	4
C[P+](C)(C)[Co-4]1([P+](C)(C)C)([P+](C)(C)C)[CH2][CH2]1	native	1
O=C1[O][Rh-3]([Cl])([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)[O]C1=O	embed-grip	16
CC(C)[P+](C(C)C)(C(C)C)[Re-4]1([Cl])([Cl])([N]=O)([P+](C(C)C)(C(C)C)C(C)C)[C+]=[C+]1	native	2
O=C(NCCC[N]1C(=O)C2=CC=CC=[N+]2[Au-]1([Cl])[Cl])C1=CC=CC=N1	embed-grip	16
C[Si](C)(C)[N]([Si](C)(C)C)[Sc]1([N]([Si](C)(C)C)[Si](C)(C)C)[CH2][Si](C)(C)[N]1[Si](C)(C)C	native	1
CC1=C(F)C(F)=[C]([Cu-]([C](F)(F)F)([C](F)(F)F)[C](F)(F)F)C(F)=C1F	native	1
C[N+]1(C)CC2=CC=CC=[C]2[Au-]12[O]C(=O)C(CC(=O)O)[S]2	embed-grip	16
F[C](F)(F)[Cu-]([N+]1=CC=CC=C1)([C](F)(F)F)[C](F)(F)F	native	1
[N]12=CC=NC=C1C(C=NC=C3)=[N]3[Ru+2]24([N]5=CC=NC=C5C6=[N]4C=CN=C6)([N]7=CC=NC=C78)[N]9=C8C=NC=C9	embed-grip	16
C[S]1(=O)[CH2][Pd-]([NH3+])([I])[CH2]1	embed-grip	16
C[S+]1C[Si]2(C)C[S+](C)[Cr-6]1([C]#[O+])([C]#[O+])([C]#[O+])[S+](C)C2	embed-failed	0
CC(C)(C)N1C=CN2C3=CC=CC=[N+]3[Ru-2]([Cl])([Cl])([Cl])([N]=O)[C+]21	embed-grip	16
