[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
C[N](C)[Ta]1([N](C)C)([N](C)C)[CH2][Si](C)(C)[N]1[Si](C)(C)C	chelate_all_configs_failed	trigonal_bipyramid
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1(C)C2=CC=CC3=C2OC2=C1C=CC=C2[Si](C)(C)[MnH-7]12456([C]#[O+])(<-[C+]7(C)[C+]1[C+]2[C+]4[C+]5[C+]76)[Si]3(C)C	chelate_polya_no_configs	half_sandwich_9_eff
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
C[Si](C)(C)[N]1CC[N+]2([Si](C)(C)C)CC[N]([Si](C)(C)C)[Sc-2]12([Cl])[O+]1CCCC1	chelate_all_configs_failed	trigonal_bipyramid
CN(C)[P]([O][Mo]1([O-])([C]#N)([C]#N)([C]#N)[O][O]1)(N(C)C)N(C)C	chelate_all_configs_failed	pentagonal_bipyramid
CN(C)C1=CC=C([N+]2=NC3=CC=CC=[N+]3[Os-7]234567([Cl])<-[C+]2(C8=CC=CC=C8)[C+]3[C+]4[C+]5[C+]6[C+]27)C=C1	chelate_all_configs_failed	tetrahedron
CCN(CC)[C+](NC(C)(C)C)[Pd-2]1([C]#[N+]C(C)(C)C)[O]C(C(F)(F)F)(C(F)(F)F)O[C]1(C(F)(F)F)C(F)(F)F	chelate_all_configs_failed	square_planar
C1=C[C]2[S][Re-3]34([O+]=C2C=C1)([O+]=C1C=CC=C[C]1[S]3)[O+]=C1C=CC=C[C]1[S]4	chelate_all_configs_failed	octahedron
O=C1[O][Ti-3]23([F])([F])([O][O]2)[O]C(=O)C2=[N+]3C1=CC=C2	f1_structqual_rejected	extra_fragments(2 comps, sizes=[1, 1])
CN1C=CN(CN2C=CC=N2)[C+]1[Ir-5]123([C+]4N(C)C=CN4CN4C=CC=N4)<-[C+]4=[C+]->1CC[C+]->2=[C+]->3CC4	chelate_all_configs_failed	octahedron
C[S]1(=O)[CH2][Pd-]([NH3+])([I])[CH2]1	chelate_all_configs_failed	square_planar
C[N+]12CC[NH+](CC1)[Rh-5]2134<-[C+]2=[C+]->1CC[C+]->3=[C+]->4CC2	chelate_polya_no_configs	tshape
O=C1C[N+]23CC[N+]45CC(=O)[O][Hf-5]2467([OH2+])([O]1)([O]C(=O)C5)[O]C(=O)C[N+]6(CC3)CC(=O)[O]7	hyperdentate_nonhapto	denticity=8
C[N+]1=CC=CC=C1N=C1C2=CC=CC=C2C(=NC2=CC=CC=[N+]2C)[N]1[Cu-2]([I])[I]	self_gate_failed	cn=3 geom=SP-3 trigonal planar
CC(C)(C)C1=CC=CC(C(C)(C)C)=C1[O][Sc-]1([O]C2=C(C(C)(C)C)C=CC=C2C(C)(C)C)[S+]=P(C2=CC=CC=C2)(C2=CC=CC=C2)[N]1C(C)(C)C	chelate_all_configs_failed	tetrahedron
CN(C)C1=CC=[N+]2C(=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)[Ru-7]213456([Cl])<-[C+]2(C)[C+]1[C+]->3(C)[C+]4[C+]->5(C)[C+]26	chelate_all_configs_failed	tetrahedron
N#[C][Fe-4]1([C]#N)([C]#N)([C]#N)[NH+]=C2C=CC=CC2=[NH+]1	chelate_all_configs_failed	octahedron
CSC1=[S+][Tc-]2([N-2])([P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)[O]C3=CC=CC=C3C=[N+]2[N]1	f1_structqual_rejected	extra_fragments(4 comps, sizes=[30, 3, 1, 1])
[CH3][Sn]([CH3])([CH3])[Ir]123456([C]7=[C]1C1CC7[C]2=[C]13)[C]1=[C]4C2CC1[C]5=[C]26	chelate_all_configs_failed	tricapped_trigonal_prism
CCOP(=S)(N[NH2+][Ni-4]([Br])([Br])([NH2+]NP(=S)(OCC)OCC)([NH2+]NP(=S)(OCC)OCC)[NH2+]NP(=S)(OCC)OCC)OCC	self_gate_failed	cn=6 geom=OC-6 octahedron
CCOP(=S)(N[NH2+][Ni-4]([Br])([Br])([NH2+]NP(=S)(OCC)OCC)([NH2+]NP(=S)(OCC)OCC)[NH2+]NP(=S)(OCC)OCC)OCC	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=NNC2=[S+][Fe-4]3([OH2+])([OH2+])([NH2+]N12)[NH2+]N1C(C)=NNC1=[S+]3	chelate_all_configs_failed	octahedron
CC1=[N+]2CC[N+]34CC[NH2+][Fe-3]23([NH2+]CC4)[S]C1(C)C	chelate_all_configs_failed	trigonal_bipyramid
[O+]#[C][RhH-3]1([I])([I])[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2OC2=CC=CC=C2[P+]1(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	octahedron
CC(C)[P+]1(C(C)C)C[Si](C)(C)[N]2[Si](C)(C)C[P+](C(C)C)(C(C)C)[Zr-2]21([Cl])([Cl])[Cl]	chelate_all_configs_failed	octahedron
C1C[S+]2CC[S+]3CC[S+]1[Pd-4]2314[S+]2CC[S+]1CC[S+]4CC2	chelate_all_configs_failed	octahedron
[O+]#[C][Ni-3]([P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1	self_gate_failed	cn=3 geom=T-3 T-shape
[O+]#[C][Ni-3]([P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1	self_gate_failed	cn=3 geom=T-3 T-shape
C=CCCCC1(C)C(=O)[O][Ni-2]23[N](C(=O)C4CCC[N+]42CC2=CC=CC=C2F)C2=CC=CC=C2C(C2=CC=CC=C2)=[N+]13	chelate_all_configs_failed	square_planar
CC1=CC=C(NC(NC2=CC=C(C)C=C2)=[N+]2CC[P+](C3=CC=CC=C3)(C3=CC=CC=C3)[Os-7]234567([Cl])<-[C+]2(C)[C+]3[C+]4[C+]->5(C(C)C)[C+]6[C+]27)C=C1	chelate_all_configs_failed	tetrahedron
CC1=C(C)N(OCC2=CC=CC=C2)[C+]([Rh-5]234([Br])<-[C+]5=[C+]->2CC[C+]->3=[C+]->4CC5)N1CC1=CC=CC=C1	chelate_all_configs_failed	octahedron
[O-]C1=CC=C[N+]2=C1C1=C(O)C=CC=[N+]1[Os-4]213([N+]2=CC=CC=C2C2=CC=CC=[N+]21)[N+]1=CC=CC=C1C1=CC=CC=[N+]13	chelate_all_configs_failed	octahedron
CC1(C)COC2=[N+]1[Ru-4]1([Br])([Br])([N+]3=C2OCC3(C)C)[N+]2=C(OCC2(C)C)C2=[N+]1C(C)(C)CO2	chelate_all_configs_failed	octahedron
C[P+]1(C)CC[P+](C)(C)[TaH2-4]12([Cl])([Cl])[P+](C)(C)CC[P+]2(C)C	chelate_all_configs_failed	square_antiprism
[O+]#[C][Fe-5]([C]#[O+])([C]#[O+])([C]#[O+])[S+]1CCCSC1	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
[O+]#[C][Fe-5]([C]#[O+])([C]#[O+])([C]#[O+])[S+]1CCCSC1	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)[C+]12->[Ru-7]34567([I])(<-[C+](C)([C+]3[C+]14)[C+]5[C+]26)[O]C1=C2C(=C(Br)C=C1Br)C=CC=[N+]27	chelate_all_configs_failed	tetrahedron
O=C1[O][Ir-3]2([Cl])([Cl])([O]C1=O)[O]C(=O)C(=O)[O]2	chelate_all_configs_failed	octahedron
[I][Cd-6]12345([I])[NH+]6CC[O+]1CC[O+]2CC[NH+]3CC[O+]4CC[O+]5CC6	chelate_all_configs_failed	square_antiprism
N#CC1=C(C#N)[N]2C(=N1)C1=NC(C#N)=C(C#N)[N]1[Ir-6]2134(<-[C+]2=[C+]->1CC[C+]->3=[C+]->4CC2)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	square_planar
[Cl][IrH2-3]12[P+](C3=CC=CC=C3)(CCC[P+]1(C1CCCCC1)C1CCCCC1)CCC[P+]2(C1CCCCC1)C1CCCCC1	chelate_all_configs_failed	octahedron
C[CH2][IrH-3]12([C]#[O+])[N](C3=CC=C(C)C=C3[P+]1(C(C)C)C(C)C)C1=CC=C(C)C=C1[P+]2(C(C)C)C(C)C	chelate_all_configs_failed	octahedron
C[S+]1CC2(C)C[S+](C)[Mn-5]1([C]#[O+])([C]#[O+])([C]#[O+])[S+](C)C2	chelate_all_configs_failed	octahedron
CC(C)[C+]12->[Os-7]34567([Cl])(<-[C+](C)([C+]3[C+]14)[C+]5[C+]26)[O+]=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1C1=C(C=CC2=CC=CC=C21)[P+]7(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	tetrahedron
C[S+](C)(=O)[Ru-7]12345([Cl])([Cl])<-[C+]6(C[NH3+])[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
C[S+](C)(=O)[Ru-7]12345([Cl])([Cl])<-[C+]6(C[NH3+])[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
C[S+](C)(=O)[Ru-7]12345([Cl])([Cl])<-[C+]6(C[NH3+])[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
C[S+](C)(=O)[Ru-7]12345([Cl])([Cl])<-[C+]6(C[NH3+])[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
CP(C)C[Si](C)(C)[N]1[Si](C)(C)C[P+](C)(C)[Zr-2]12([Cl])([Cl])[N]([Si](C)(C)CP(C)C)[Si](C)(C)C[P+]2(C)C	chelate_all_configs_failed	octahedron
NC1=NC=CC=[N+]1[Cd-4]([OH2+])([OH2+])([OH2+])([OH2+])[N+]1=CC=CN=C1N	self_gate_failed	cn=6 geom=OC-6 octahedron
NC1=[NH+][Ag-]23[NH+]=C(N)NC(N)=[N+]2CC[N+]3=C(N)N1	chelate_all_configs_failed	tetrahedron
CC(C)[P+]1(C(C)C)N(C)C2=CC=CC3=[N+]2[FeH2-4]1([C]#[O+])[P+](C(C)C)(C(C)C)N3C	chelate_all_configs_failed	octahedron
N#[N+][Ru-4]12([N]=[N+]=[N-])([NH2+]CC[NH2+]1)[NH2+]CC[NH2+]2	f1_structqual_rejected	extra_fragments(2 comps, sizes=[13, 1])
N#[N+][Ru-4]12([N]=[N+]=[N-])([NH2+]CC[NH2+]1)[NH2+]CC[NH2+]2	chelate_all_configs_failed	octahedron
CC1=CC2=[N+](N1C)[Mn-2]1([Cl])([Cl])([N]3N=C(C)C=C23)[N]2N=C(C)C=C2C2=[N+]1N(C)C(C)=C2	chelate_all_configs_failed	octahedron
C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[TcH3-4]([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[TcH3-4]([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[TcH3-4]([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[TcH3-4]([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
[OH2+][Y-6]123456([Cl])[OH+]CC[O+]1CC[O+]2CC[O+]3CC[O+]4CC[O+]5CC[OH+]6	hyperdentate_nonhapto	denticity=7
C1=CC=C([P+](C2=CC=CC=C2)(C2=CC=CC=C2)[TcH3-4]([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC(C)(C)OC[CH2][TaH]([O][Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C)([O][Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C)[O][Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)OC[CH2][TaH]([O][Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C)([O][Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C)[O][Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[P+]1(C(C)(C)C)CC2=CC=CC=[N+]2[Pt-2]1([CH3])[CH3]	chelate_all_configs_failed	square_planar
C[P+](C)(C1=CC=CC=C1)[Ir-3]([Cl])([Cl])([Cl])([P+](C)(C)C1=CC=CC=C1)[P+](C)(C)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
C[S+](C)(=O)[Ru-3]([Cl])([Cl])([Cl])([Cl])[S+](C)(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
C[S+](C)(=O)[Ru-3]([Cl])([Cl])([Cl])([Cl])[S+](C)(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
O=[N][Re-2]([Br])([Br])([Br])([N+]1=CC=CN1)[As+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
C1=CC=C2[O][Ni-2]34[O]C5=CC=CC=C5C=[N+]3CC[N+]4=CC2=C1	chelate_all_configs_failed	square_planar
CC(C)(C)C1=NOC(C2=CC=C(N3C=CN(CC4=C5C=CC=CC5=CC5=CC=CC=C54)[C+]3[Au-][Cl])C=C2)=N1	ligand_too_large	nheavy=35 denticity=1 cap=30
C1=C[N]2C(=C1)C(N1CCCC1)=[O+][Fe-3]213([O+]=C(N2CCCC2)C2=CC=C[N]21)[O+]=C(N1CCCC1)C1=CC=C[N]13	chelate_all_configs_failed	octahedron
CCN(CC)C1=[S+][Tc-2]2([Cl])([Cl])([N]=S)([S]1)[S]C(N(CC)CC)=[S+]2	chelate_all_configs_failed	pentagonal_bipyramid
N#[C][Re-2]([OH2+])([C]#N)([C]#N)([C]#N)[N]=O	self_gate_failed	cn=6 geom=OC-6 octahedron
N#[C][Re-2]([OH2+])([C]#N)([C]#N)([C]#N)[N]=O	self_gate_failed	cn=6 geom=OC-6 octahedron
C1=CC2=CC=CC3=C2C(=C1)C1=C3[S][Pt-4]234(<-[C+]5=[C+]->2CC[C+]->3=[C+]->4CC5)[S]C2=C1C1=C3C(=CC=C1)C=CC=C23	chelate_polya_no_configs	tshape
C1=C[C+]23->[Cr-12]456789%10%11%12(<-[C+]2(C=C1)[C+]4[C+]5[C+]6[C+]37)[C+]1[C+]8[C+]9[C+]%10[C+]%11[C+]1%12	no_geometry_for_cn	metal=Cr cn=12
[CH3][Pt]1([CH3])([CH3])([S](=O)(=O)C2=CC=CC=C2)[N]2C=CC(C3=CC=CC=C3)=C3C=CC4=C(C5=CC=CC=C5)C=C[N]1C4=C32	chelate_all_configs_failed	octahedron
CC1=CC(C)=CC([N]2[Si](C)(C)[Si]3(C)[Si](C)(C)[N](C4=CC(C)=CC(C)=C4)[Sn]2([Rh]245([P](OC6=CC=CC=C6)(OC6=CC=CC=C6)OC6=CC=CC=C6)[C]6=[C]2CC[C]4=[C]5CC6)[N](C2=CC(C)=CC(C)=C2)[Si]3(C)C)=C1	ligand_too_large	nheavy=39 denticity=1 cap=30
[O+]#[C+]->[Mo-8]123456(<-[C+]#[O+])(<-[C+]#[O+])<-[C+]7=[C+]->1[C+]->2=[C+]->3[CH]4[C+]->5=[C+]->67	self_gate_failed	cn=4 geom=T-4 tetrahedron
C[N+]1(C)[BH-]2[H+][Y-10]3456789([O+]%10CCCC%10)([H+]2)([H+][BH-]1[H+]3)([H+][BH-]([H+]4)[N+](C)(C)[BH-]([H+]5)[H+]6)[H+][BH-]([H+]7)[N+](C)(C)[BH-]([H+]8)[H+]9	cn_out_of_range	cn=13
COC(=O)N=[N][Re-3]123([P+](C4=CC=CC=C4)(C4=CC=CC=C4)C4=CC=CC=C4)[S]CC[S+]1CCC[S+]2CC[S]3	chelate_all_configs_failed	octahedron
[Cl][Ir-8]123456(<-[C+](=[C+]1)[C+]->2=[C+]3)<-[C+](=[C+]4)[C+]->5=[C+]6	self_gate_failed	cn=3 geom=T-3 T-shape
[Cl][Ir-8]123456(<-[C+](=[C+]1)[C+]->2=[C+]3)<-[C+](=[C+]4)[C+]->5=[C+]6	self_gate_failed	cn=3 geom=T-3 T-shape
NC(=[O+][La-5]([OH2+])([OH2+])([OH2+])([OH2+])([Cl])([Cl])[O+]=C(N)C1=CC=NC=C1)C1=CC=NC=C1	geom_not_in_polya_groups	SAP-8 square antiprism
[O+]#[C][Cr-6]12([C]#[O+])([C]#[O+])[NH2+]CC[NH+]1CC[NH2+]2	chelate_all_configs_failed	octahedron
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[Au-][O]S(=O)(=O)CC12CCC(CC1=O)C2(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CNC(=O)CC[C+]12->[Os-7]34567(<-[C+](C)([C+]3[C+]14)[C+]5[C+]26)([P+]12CN3CN(CN(C3)C1)C2)[O]C(=O)C(=O)[O]7	chelate_all_configs_failed	tetrahedron
O=C(O)C1CC2=C[NH+]=C[N]2[Pd-2]23[NH2+]CC(=O)[N]2CC(=O)[N]13	chelate_all_configs_failed	square_planar
[O+]#[C][W-4]1234([C]#[O+])([Se][As]5[Se][As]1[As]2[Se]5)[Se][As]1[Se][As]3[As]4[Se]1	chelate_all_configs_failed	square_antiprism
CSC1=[S+][Tc-]2([N-2])([P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)[O]C3=CC=CC=C3C=[N+]2[N]1	chelate_all_configs_failed	trigonal_bipyramid
C[P+](C)(C)[Mo-10]123456(<-[C+](=[C+]1)[C+]->2=[C+]3)(<-[C+](=[C+]4)[C+]->5=[C+]6)[P+](C)(C)C	self_gate_failed	cn=4 geom=T-4 tetrahedron
CC1=CC=CC(C)=C1[N]([Si](C)(C)C)[Fe-2]1([Cl])[N+](C)(C)CC[N+]1(C)C	chelate_all_configs_failed	tetrahedron
[Br][Ru-7]123456([Br])<-[C+]7(CN8C9=CC=CC=C9N(CC9CCC9)[C+]81)[C+]2[C+]3[C+]4[C+]5[C+]76	hyperdentate_nonhapto	denticity=7
[N-2][Ru+]12([O]C3=CC=CC=C3[O]1)[O]C1=CC=CC=C1[O]2	chelate_all_configs_failed	trigonal_bipyramid
CC(C)(C)[P+]1(C(C)(C)C)CC[N]2CC[P+](C(C)(C)C)(C(C)(C)C)[Os]21[N-][Si](C)(C)C	chelate_all_configs_failed	tetrahedron
[N-]=[N+]=[N][Mn-2]123[O]C4=CC=CC=C4C=[N+]1C1CCCCC1[N+]2=CC1=CC=CC=C1[O]3	chelate_all_configs_failed	trigonal_bipyramid
O=[N][Fe-3]12([OH2+])([OH2+])[O]C(=O)C[NH+]1CC(=O)[O]2	f1_structqual_rejected	extra_fragments(6 comps, sizes=[8, 1, 1, 1, 1, 2])
O=[N][Fe-3]12([OH2+])([OH2+])[O]C(=O)C[NH+]1CC(=O)[O]2	f1_structqual_rejected	extra_fragments(3 comps, sizes=[11, 1, 2])
O=[N][Fe-3]12([OH2+])([OH2+])[O]C(=O)C[NH+]1CC(=O)[O]2	f1_structqual_rejected	extra_fragments(3 comps, sizes=[11, 1, 2])
CCCC1=C(CCC)C(CCC)=C2C[C+]34->[Fe-8]56789%10%11([P]([C+]->5(CCC)[C+]->63CC2=C1CCC)[C+]->74CCC)[P]1[C+]->8(CCC)[C+]->92CC3=C(CCC)C(CCC)=C(CCC)C(CCC)=C3C[C+]->%102[C+]->%111CCC	geom_not_in_polya_groups	BICAP-10 bicapped square antiprism
CC1C(=O)[O][Nb-3]23456([O]C(=O)C(C)[N+]12[O]3)[O]C(=O)C(C)[N+]4([O]5)C(C)C(=O)[O]6	f1_structqual_rejected	extra_fragments(2 comps, sizes=[5, 1])
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
CC#[N+][W-5]([Br])([Br])([C]#[O+])([C]#[O+])([C]#[O+])[N+]#CC	self_gate_failed	cn=7 geom=PB-7 pentagonal bipyramid
