C[P+](C)(C)[FeH-4]12([P+](C)(C)C)[N]3C(=CC=C3C[P+]1(C1CCCCC1)C1CCCCC1)C[P+]2(C1CCCCC1)C1CCCCC1	chelate_all_configs_failed	octahedron
CN=[NH+][W-4]([C]#[O+])([C]#[O+])([N]=O)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
C[P+](C)(C)[IrH2-3]([Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)([P+](C)(C)C)[P+](C)(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
CN=[NH+][W-4]([C]#[O+])([C]#[O+])([N]=O)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
CCCNC(NCCC)=[S+][Hg-2]([C]#N)([C]#N)[S+]=C(NCCC)NCCC	self_gate_failed	cn=4 geom=T-4 tetrahedron
S=C=[N][Os-3]([N]=C=S)([N]=C=S)([N+]1=CC=CC=C1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
S=C=[N][Os-3]([N]=C=S)([N]=C=S)([N+]1=CC=CC=C1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
FC1=NC(F)=C(F)[C]([PdH-2]([P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)=C1F	self_gate_failed	cn=4 geom=SP-4 square planar
