Compound;SMILES;E_00_calc;E_00_exp;delta_E_00;E_red_calc;E_red_exp;delta_E_red;E_ox_calc;E_ox_exp;delta_E_ox;E_red*_calc;E_red*_exp;delta_E_red*;E_ox*_calc;E_ox*_exp;delta_E_ox*
Ir_52;[Ir]123([C]4N(C=CN4CCCC)CN4[C]1N(CCCC)C=C4)(N1C(=C4C=CC=C[C]4C=C1)c1c2ccs1)N1C(=C2[C](C=C1)C=CC=C2)c1sccc31;1,9;2,1;-0,2;-1,57;-1,66;0,09;1,1;0,88;0,22;0,33;0,44;-0,11;-0,8;-1,22;0,42
Ir_51;[Ir]123([C]4N(C=CN4C)CN4[C]1N(C)C=C4)(N1[C](c4c2cc2-c5ccccc5C(c2c4)(C)C)C=CC=C1)N1[C](c2cc4C(C)(c5ccccc5-c4cc32)C)C=CC=C1;2,33;2,47;-0,14;-1,89;-1,97;0,08;1,04;0,96;0,08;0,44;0,5;-0,06;-1,29;-1,51;0,22
Ir_50;[Ir]123([C]4N(C=CN4CCCC)CN4[C]1N(CCCC)C=C4)(N1C(=C4C=CC=C[C]4C=C1)c1c2cc2c(c1)cccc2)N1C(=C2[C](C=C1)C=CC=C2)c1cc2c(cc31)cccc2;1,87;2,15;-0,28;-1,39;-1,54;0,15;1,03;0,82;0,21;0,49;0,61;-0,12;-0,84;-1,33;0,49
Ir_54;c1(cc(c2c(c1)[Ir]13(N4[C]2C=CC(=C4)C(F)(F)F)(N2[CH]C=CC=C2[C]2N1C=CC=C2)c1cc(cc(c1[C]1C=CC(=CN31)C(F)(F)F)F)F)F)F;2,61;2,69;-0,08;-1,16;-1,37;0,21;1,67;1,69;-0,02;1,45;1,32;0,13;-0,94;-1,0;0,06
Cu_2;C1=C(N2c3c(=C1)ccc1=CC=C(N(c31)[Cu]12[P](c2c3c(ccc2)C(c2c(c([P]1(c1ccccc1)c1ccccc1)ccc2)O3)(C)C)(c1ccccc1)c1ccccc1)C(C)C)C(C)C;2,62;2,77;-0,15;-1,73;-1,73;0,0;1,01;1,34;-0,33;0,89;1,04;-0,15;-1,61;-1,43;-0,18
Cu_4;C1=C(N2c3c(=C1c1ccccc1)ccc1=C(C=C(N(c31)[Cu]12[P](c2c(cccc2)Oc2c([P]1(c1ccccc1)c1ccccc1)cccc2)(c1ccccc1)c1ccccc1)C)c1ccccc1)C;2,49;2,27;0,22;-1,62;-1,64;0,02;0,95;1,22;-0,27;0,88;0,63;0,25;-1,54;-1,02;-0,52
Ru_1;C1=CN2C(=C3C=CC=CN3[Ru]342(N2[CH]C=CC=C2[C]2N3C=CC=C2)N2[CH]C=CC=C2[C]2C=CC=CN42)C=C1;2,34;2,1;0,24;-1,19;-1,33;0,14;1,28;1,29;-0,01;1,15;0,77;0,38;-1,07;-0,81;-0,26
Ru_3;C1=CN2c3c(=C1)ccc1=CC=CN(c31)[Ir]132(N2C=CC=c4c2c2N1C=CC=c2cc4)N1C=CC=c2c1c1c(=CC=CN31)cc2;2,29;2,18;0,11;-1,24;-1,36;0,12;1,3;1,26;0,04;1,05;0,82;0,23;-0,99;-0,87;-0,12
Ru_4;C1=[N]=CC2=C3C=[N]=C[CH]N3[Ru]34(N2[CH]1)(N1[CH]C=[N]=CC1=C1N3[CH]C=[N]=C1)N1[CH]C=[N]=CC1=C1C=[N]=C[CH]N41;2,38;2,12;0,26;-0,48;-0,8;0,32;2,09;1,86;0,23;1,9;1,45;0,45;-0,29;-0,26;-0,03
Ir_48;[Ir]123([C]4N(C=CN4CCCC)CN4[C]1N(CCCC)C=C4)(N1[C](c4c2cc2-c5ccccc5C(c2c4)(C)C)C=CC=C1)N1[C](c2cc4C(C)(c5ccccc5-c4cc32)C)C=CC=C1;2,32;2,24;0,08;-1,89;-1,8;-0,09;1,09;0,98;0,11;0,44;0,44;0,0;-1,23;-1,26;0,03
Ru_2;C1=CN2C(=C3C=C(C=CN3[Ru]342(N2[CH]C=C(C=C2[C]2N3C=CC(=C2)C)C)N2[CH]C=C(C=C2[C]2C=C(C=CN42)C)C)C)C=C1C;2,34;2,06;0,28;-1,21;-1,43;0,22;1,09;1,14;-0,05;1,13;0,63;0,5;-1,25;-0,92;-0,33
