id	smiles	n_atoms	n_frames
ex_0104	CCN1C(=S)SC2=C1[Se][Au]1([Se]2)[Se]C2=C([Se]1)N(CC)C(=S)S2	31	8
ex_0105	C1=CN[N+]([Mn-4]([N+]2=CC=CN2)([N+]2=CC=CN2)([N+]2=CC=CN2)([N+]2=CC=CN2)[N+]2=CC=CN2)=C1	55	8
ex_0106	CCN1C(=[Se])SC2=C1[S][Ni-]1([S]2)[S]C2=C([S]1)N(CC)C(=[Se])S2	31	8
ex_0107	C1=C[N+]([Ni-4]([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)[N+]2=CNC=C2)=CN1	55	10
ex_0108	[I][Pt-]([I])([I])[As](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	38	26
ex_0109	C1=C[N+]([Ni-4]([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)[N+]2=CNC=C2)=CN1	55	10
ex_0110	CC1=[N+]2O[B-]3(C4=CC=CC=C4)O[N+]4=C(C)C5=[N+](C=CN5C)[Fe-4]245([N+]2=C1N(C)C=C2)[N+]1=C(C(C)=[N+]5O3)N(C)C=C1	67	3
ex_0111	O=[Se](=O)([O-])[O][Cu-3]12([N+]3=CC=CC4=CC=C5C=CC=[N+]1C5=C43)[N+]1=CC=CC3=CC=C4C=CC=[N+]2C4=C31	50	16
ex_0112	C1=CC2=NC3=C4C=CC5=[N+]4[Ni-4]46[N+](=C5)CCCC[N+]4=CC4=[N+]6C(=C3N=C2C=C1)C=C4	47	5
ex_0113	[Br][Cu-4]([Br])([N+]1=CC=CN1)([N+]1=CC=CN1)([N+]1=CC=CN1)[N+]1=CC=CN1	39	20
ex_0114	C1=C[N+]([Ni-4]([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)([N+]2=CNC=C2)[N+]2=CNC=C2)=CN1	55	10
ex_0115	C1=CC=C2C(=C1)C=CC1=C2[N+]2=NC3=[N+](C=CS3)[Co-3]234([O]C2=CC=C5C=CC=CC5=C2[N+]3=NC2=[N+]4C=CS2)[O]1	53	8
ex_0116	CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)C1=[Se+][Cu-][Cl]	68	14
ex_0117	CC1=CC=C([B-]23C4=CC=CC5=[N+]4[Sc-3]4([Cl])([N]6C=CC=[N+]62)([N]2C=CC=[N+]23)[N]2C=CC=[N+]2[B-]5(C2=CC=C(C)C=C2)[N+]2=CC=C[N]24)C=C1	73	27
ex_0118	C=CN1C=C[N+]([Ni-4]([N+]2=CN(C=C)C=C2)([N+]2=CN(C=C)C=C2)([N+]2=CN(C=C)C=C2)([N+]2=CN(C=C)C=C2)[N+]2=CN(C=C)C=C2)=C1	79	10
ex_0119	CC1=CC=CC=C1[As+]([Au-][Cl])(C1=CC=CC=C1C)C1=CC=CC=C1C	45	14
